ncand,n_far,is_top1,beats_far,pct_far,margin_far,displacement,d_assigned,L,locus_len,chance,pair
7,3,False,False,0.3333333333333333,-0.04752122931680189,288.0,0.07144124039968273,368,1319,0.25,hg38_vs_bosTau9
54,49,False,False,0.30612244897959184,-0.022102783795953942,587.0,0.05605224027127333,328,8979,0.02,hg38_vs_bosTau9
16,11,True,True,0.0,0.01668616677323831,0.0,0.014555645736452204,328,2730,0.08333333333333333,hg38_vs_bosTau9
10,5,False,True,0.0,0.053708615194309986,16.0,0.03979182831905784,328,1699,0.16666666666666666,hg38_vs_bosTau9
14,9,True,True,0.0,0.1634907367199601,0.0,0.03818758614734428,168,1195,0.1,hg38_vs_bosTau9
6,2,False,False,0.5,-0.0035911322976801066,328.0,0.034145596272181986,608,2027,0.3333333333333333,hg38_vs_bosTau9
8,3,False,True,0.0,0.05124756621454957,52.0,0.08080985950188904,248,1081,0.25,hg38_vs_bosTau9
12,7,False,True,0.0,0.010530949333210124,16.0,0.03677074047944932,408,2514,0.125,hg38_vs_bosTau9
9,4,True,True,0.0,0.03176364315715991,0.0,0.04093630753235116,288,1308,0.2,hg38_vs_bosTau9
11,6,True,True,0.0,0.07094383756053572,0.0,0.041995127615846575,208,1168,0.14285714285714285,hg38_vs_bosTau9
7,2,False,True,0.0,0.09796752233159475,12.0,0.021805090366770023,328,1244,0.3333333333333333,hg38_vs_bosTau9
7,2,False,True,0.0,0.0034057314469733424,207.0,0.03660039544216552,448,1607,0.3333333333333333,hg38_vs_bosTau9
12,7,False,False,0.14285714285714285,-0.00096735475019228,72.0,0.04408717704703359,288,1864,0.125,hg38_vs_bosTau9
4,1,True,True,0.0,0.03642079095372085,0.0,0.010564684265662733,1488,3288,0.5,hg38_vs_bosTau9
9,4,False,True,0.0,0.009957341728142492,228.0,0.05264229860260925,408,1845,0.2,hg38_vs_bosTau9
10,5,False,True,0.0,0.07056034581717208,144.0,0.046747911457608086,328,1640,0.16666666666666666,hg38_vs_bosTau9
7,4,False,False,0.5,-0.00839583984349064,224.0,0.07519698582081111,408,1555,0.2,hg38_vs_bosTau9
10,5,False,True,0.0,0.04249601530653116,64.0,0.018122351827693842,248,1307,0.16666666666666666,hg38_vs_bosTau9
10,5,False,False,0.2,-0.00048534208692730535,184.0,0.0419541618647609,288,1538,0.16666666666666666,hg38_vs_bosTau9
25,20,False,False,0.25,-0.009172305457138666,1329.0,0.0679109606551057,528,6641,0.047619047619047616,hg38_vs_bosTau9
27,22,True,True,0.0,0.03876075472514971,0.0,0.01652366450263447,248,3415,0.043478260869565216,hg38_vs_bosTau9
10,5,False,False,0.8,-0.0626989564613834,296.0,0.08956642730330125,328,1665,0.16666666666666666,hg38_vs_bosTau9
16,11,False,False,0.2727272727272727,-0.03537795533044116,222.0,0.05052714468754526,208,1678,0.08333333333333333,hg38_vs_bosTau9
38,33,True,True,0.0,0.09214550204456873,0.0,0.03829636331569564,168,3232,0.029411764705882353,hg38_vs_bosTau9
5,1,False,True,0.0,0.06784223771732228,144.0,0.03475218575976676,568,1600,0.5,hg38_vs_bosTau9
5,1,False,True,0.0,0.03489052407013825,365.0,0.04791082031263043,568,1451,0.5,hg38_vs_bosTau9
13,8,False,True,0.0,0.0082290966013902,205.0,0.0389284149639122,488,3281,0.1111111111111111,hg38_vs_bosTau9
6,2,False,True,0.0,0.04688907459201496,129.0,0.04554375306786671,408,1389,0.3333333333333333,hg38_vs_bosTau9
11,6,False,True,0.0,0.015871911987089246,217.0,0.02036893802137689,688,3969,0.14285714285714285,hg38_vs_bosTau9
33,28,False,False,0.07142857142857142,-0.017278074309934187,304.0,0.0704865638872767,128,2156,0.034482758620689655,hg38_vs_bosTau9
8,4,False,False,0.5,-0.00971863399075662,482.0,0.07590179057266348,608,2454,0.2,hg38_vs_bosTau9
9,4,False,True,0.0,0.04798798075892953,160.0,0.026284973642845058,448,2120,0.2,hg38_vs_bosTau9
28,23,False,True,0.0,0.02145028344112738,34.0,0.01655546349489732,208,2918,0.041666666666666664,hg38_vs_bosTau9
5,1,True,True,0.0,0.11802489442100317,0.0,0.015912775188986455,1048,2716,0.5,hg38_vs_bosTau9
8,3,False,True,0.0,0.00894216646637766,29.0,0.027410985614718934,568,2453,0.25,hg38_vs_bosTau9
26,21,False,False,0.2857142857142857,-0.002866088742166123,6288.0,0.06420641669576403,768,10296,0.045454545454545456,hg38_vs_bosTau9
5,2,False,False,0.5,-0.051512012722152216,976.0,0.07387588663102375,768,2208,0.3333333333333333,hg38_vs_bosTau9
16,11,False,False,0.45454545454545453,-0.06273874025227846,377.0,0.07586710070725146,208,1673,0.08333333333333333,hg38_vs_bosTau9
